i,j,X-Field,Y-Field,R-Field,PredictedX,PredictedY,RealX,RealY,Distortion
-21,13,-2.68614000E+01,1.00017000E+01,2.82051000E+01,-6.47995000E+00,2.25633000E+00,-5.72680000E+00,1.99408000E+00,-11.62%
-21,14,-2.68614000E+01,1.07538000E+01,2.84099000E+01,-6.47995000E+00,2.42989000E+00,-5.71757000E+00,2.14401000E+00,-11.77%
-21,15,-2.68614000E+01,1.15021000E+01,2.86272000E+01,-6.47995000E+00,2.60346000E+00,-5.70772000E+00,2.29320000E+00,-11.92%
-21,16,-2.68614000E+01,1.22464000E+01,2.88563000E+01,-6.47995000E+00,2.77702000E+00,-5.69727000E+00,2.44160000E+00,-12.08%
-21,17,-2.68614000E+01,1.29866000E+01,2.90967000E+01,-6.47995000E+00,2.95059000E+00,-5.68623000E+00,2.58917000E+00,-12.25%
-21,18,-2.68614000E+01,1.37224000E+01,2.93479000E+01,-6.47995000E+00,3.12415000E+00,-5.67462000E+00,2.73588000E+00,-12.43%
-21,19,-2.68614000E+01,1.44536000E+01,2.96095000E+01,-6.47995000E+00,3.29771000E+00,-5.66246000E+00,2.88169000E+00,-12.62%
-21,20,-2.68614000E+01,1.51801000E+01,2.98807000E+01,-6.47995000E+00,3.47128000E+00,-5.64977000E+00,3.02655000E+00,-12.81%
-21,21,-2.68614000E+01,1.59015000E+01,3.01612000E+01,-6.47995000E+00,3.64484000E+00,-5.63655000E+00,3.17045000E+00,-13.02%
-20,-21,-2.57510000E+01,-1.59015000E+01,2.92580000E+01,-6.17138000E+00,-3.64484000E+00,-5.40837000E+00,-3.19420000E+00,-12.36%
-20,-20,-2.57510000E+01,-1.51801000E+01,2.89617000E+01,-6.17138000E+00,-3.47128000E+00,-5.42137000E+00,-3.04941000E+00,-12.15%
-20,-19,-2.57510000E+01,-1.44536000E+01,2.86748000E+01,-6.17138000E+00,-3.29771000E+00,-5.43386000E+00,-2.90362000E+00,-11.95%
-20,-18,-2.57510000E+01,-1.37224000E+01,2.83979000E+01,-6.17138000E+00,-3.12415000E+00,-5.44582000E+00,-2.75685000E+00,-11.76%
-20,-17,-2.57510000E+01,-1.29866000E+01,2.81317000E+01,-6.17138000E+00,-2.95059000E+00,-5.45724000E+00,-2.60915000E+00,-11.57%
-20,-16,-2.57510000E+01,-1.22464000E+01,2.78766000E+01,-6.17138000E+00,-2.77702000E+00,-5.46809000E+00,-2.46055000E+00,-11.40%
-20,-15,-2.57510000E+01,-1.15021000E+01,2.76334000E+01,-6.17138000E+00,-2.60346000E+00,-5.47837000E+00,-2.31110000E+00,-11.23%
-20,-14,-2.57510000E+01,-1.07538000E+01,2.74026000E+01,-6.17138000E+00,-2.42989000E+00,-5.48806000E+00,-2.16085000E+00,-11.07%
-20,-13,-2.57510000E+01,-1.00017000E+01,2.71847000E+01,-6.17138000E+00,-2.25633000E+00,-5.49714000E+00,-2.00982000E+00,-10.93%
-20,-12,-2.57510000E+01,-9.24620000E+00,2.69804000E+01,-6.17138000E+00,-2.08277000E+00,-5.50560000E+00,-1.85807000E+00,-10.79%
-20,-11,-2.57510000E+01,-8.48740000E+00,2.67901000E+01,-6.17138000E+00,-1.90920000E+00,-5.51343000E+00,-1.70566000E+00,-10.66%
-20,-10,-2.57510000E+01,-7.72560000E+00,2.66145000E+01,-6.17138000E+00,-1.73564000E+00,-5.52062000E+00,-1.55262000E+00,-10.54%
-20,-9,-2.57510000E+01,-6.96103000E+00,2.64539000E+01,-6.17138000E+00,-1.56208000E+00,-5.52716000E+00,-1.39901000E+00,-10.44%
-20,-8,-2.57510000E+01,-6.19396000E+00,2.63088000E+01,-6.17138000E+00,-1.38851000E+00,-5.53304000E+00,-1.24489000E+00,-10.34%
-20,-7,-2.57510000E+01,-5.42466000E+00,2.61798000E+01,-6.17138000E+00,-1.21495000E+00,-5.53825000E+00,-1.09030000E+00,-10.26%
-20,-6,-2.57510000E+01,-4.65340000E+00,2.60671000E+01,-6.17138000E+00,-1.04138000E+00,-5.54277000E+00,-9.35310000E-01,-10.19%
-20,-5,-2.57510000E+01,-3.88044000E+00,2.59712000E+01,-6.17138000E+00,-8.67820000E-01,-5.54662000E+00,-7.79965000E-01,-10.12%
-20,-4,-2.57510000E+01,-3.10606000E+00,2.58923000E+01,-6.17138000E+00,-6.94256000E-01,-5.54977000E+00,-6.24327000E-01,-10.07%
-20,-3,-2.57510000E+01,-2.33054000E+00,2.58306000E+01,-6.17138000E+00,-5.20692000E-01,-5.55223000E+00,-4.68453000E-01,-10.03%
-20,-2,-2.57510000E+01,-1.55417000E+00,2.57864000E+01,-6.17138000E+00,-3.47128000E-01,-5.55399000E+00,-3.12401000E-01,-10.00%
-20,-1,-2.57510000E+01,-7.77228000E-01,2.57599000E+01,-6.17138000E+00,-1.73564000E-01,-5.55504000E+00,-1.56230000E-01,-9.99%
-20,0,-2.57510000E+01,0.00000000E+00,2.57510000E+01,-6.17138000E+00,0.00000000E+00,-5.55539000E+00,0.00000000E+00,-9.98%
-20,1,-2.57510000E+01,7.77228000E-01,2.57599000E+01,-6.17138000E+00,1.73564000E-01,-5.55504000E+00,1.56230000E-01,-9.99%
-20,2,-2.57510000E+01,1.55417000E+00,2.57864000E+01,-6.17138000E+00,3.47128000E-01,-5.55399000E+00,3.12401000E-01,-10.00%
-20,3,-2.57510000E+01,2.33054000E+00,2.58306000E+01,-6.17138000E+00,5.20692000E-01,-5.55223000E+00,4.68453000E-01,-10.03%
-20,4,-2.57510000E+01,3.10606000E+00,2.58923000E+01,-6.17138000E+00,6.94256000E-01,-5.54977000E+00,6.24327000E-01,-10.07%
-20,5,-2.57510000E+01,3.88044000E+00,2.59712000E+01,-6.17138000E+00,8.67820000E-01,-5.54662000E+00,7.79965000E-01,-10.12%
-20,6,-2.57510000E+01,4.65340000E+00,2.60671000E+01,-6.17138000E+00,1.04138000E+00,-5.54277000E+00,9.35310000E-01,-10.19%
-20,7,-2.57510000E+01,5.42466000E+00,2.61798000E+01,-6.17138000E+00,1.21495000E+00,-5.53825000E+00,1.09030000E+00,-10.26%
-20,8,-2.57510000E+01,6.19396000E+00,2.63088000E+01,-6.17138000E+00,1.38851000E+00,-5.53304000E+00,1.24489000E+00,-10.34%
-20,9,-2.57510000E+01,6.96103000E+00,2.64539000E+01,-6.17138000E+00,1.56208000E+00,-5.52716000E+00,1.39901000E+00,-10.44%
-20,10,-2.57510000E+01,7.72560000E+00,2.66145000E+01,-6.17138000E+00,1.73564000E+00,-5.52062000E+00,1.55262000E+00,-10.54%
-20,11,-2.57510000E+01,8.48740000E+00,2.67901000E+01,-6.17138000E+00,1.90920000E+00,-5.51343000E+00,1.70566000E+00,-10.66%
-20,12,-2.57510000E+01,9.24620000E+00,2.69804000E+01,-6.17138000E+00,2.08277000E+00,-5.50560000E+00,1.85807000E+00,-10.79%
-20,13,-2.57510000E+01,1.00017000E+01,2.71847000E+01,-6.17138000E+00,2.25633000E+00,-5.49714000E+00,2.00982000E+00,-10.93%
